drug1_Name,TCGA-FA-8693-01A,TCGA-FA-A4BB-01A,TCGA-FA-A4XK-01A,TCGA-FA-A6HN-01A,TCGA-FA-A6HO-01A,TCGA-FA-A7DS-01A,TCGA-FA-A7Q1-01A,TCGA-FA-A82F-01A,TCGA-FA-A86F-01A,TCGA-FF-8041-01A,TCGA-FF-8042-01A,TCGA-FF-8043-01A,TCGA-FF-8046-01A,TCGA-FF-8047-01A,TCGA-FF-8061-01A,TCGA-FF-8062-01A,TCGA-FF-A7CQ-01A,TCGA-FF-A7CR-01A,TCGA-FF-A7CW-01A,TCGA-FF-A7CX-01A,TCGA-FM-8000-01A,TCGA-G8-6324-01A,TCGA-G8-6325-01A,TCGA-G8-6326-01A,TCGA-G8-6906-01A,TCGA-G8-6907-01A,TCGA-G8-6909-01A,TCGA-G8-6914-01A,TCGA-GR-7351-01A,TCGA-GR-7353-01A,TCGA-GR-A4D4-01A,TCGA-GR-A4D5-01A,TCGA-GR-A4D6-01A,TCGA-GR-A4D9-01B,TCGA-GS-A9TQ-01A,TCGA-GS-A9TT-01A,TCGA-GS-A9TU-01A,TCGA-GS-A9TV-01A,TCGA-GS-A9TW-01A,TCGA-GS-A9TX-01A,TCGA-GS-A9TY-01A,TCGA-GS-A9TZ-01A,TCGA-GS-A9U3-01A,TCGA-GS-A9U4-01A,TCGA-RQ-A68N-01A,TCGA-RQ-A6JB-01A,TCGA-RQ-AAAT-01A,TCGA-VB-A8QN-01A
4-Iodo-3-nitrobenzamide,0.08418729901313783,0.10011374205350876,0.1076430007815361,0.09774041920900343,0.10342194885015488,0.09629707038402556,0.0982973650097847,0.09857293218374252,0.10620606690645218,0.10964254289865494,0.10073339194059372,0.11252179741859436,0.09954269975423813,0.10226521641016006,0.09969787299633026,0.08555116504430771,0.10796262323856354,0.0959797129034996,0.0927826762199402,0.12190820276737213,0.12691545486450195,0.102845661342144,0.09436875581741333,0.10840706527233124,0.09030825644731523,0.11089766025543213,0.08639661222696304,0.11358150839805604,0.09256670624017717,0.09425964206457138,0.12546978890895846,0.0983339473605156,0.1033497303724289,0.10905304551124573,0.10430581867694856,0.13598456978797913,0.11374124884605408,0.0925683081150055,0.10480748116970062,0.1123516783118248,0.10973167419433594,0.10578452795743942,0.1016414612531662,0.10694535821676254,0.09378396719694138,0.11016494035720824,0.09589758515357973,0.09397635608911514
405911-17-3,0.12156038731336595,0.140484020113945,0.14352980256080627,0.13571098446846008,0.13290716707706451,0.12633992731571198,0.1270526796579361,0.13520130515098572,0.1432974934577942,0.1493111401796341,0.1474035531282425,0.15222495794296265,0.1322641670703888,0.13001826405525208,0.12842696905136108,0.127944216132164,0.14293059706687927,0.1334967464208603,0.12936042249202728,0.15338744223117828,0.1321498155593872,0.13332608342170715,0.13618525862693787,0.13469219207763672,0.1277736872434616,0.14563266932964325,0.13122278451919556,0.1302492767572403,0.13082891702651978,0.12724530696868894,0.15342311561107635,0.1418152004480362,0.13966523110866547,0.14392104744911194,0.13645830750465393,0.16879160702228546,0.1434856653213501,0.13271182775497434,0.152096688747406,0.15547843277454376,0.1464814841747284,0.14680679142475128,0.1301051378250122,0.1356971114873886,0.13617676496505735,0.14356060326099396,0.1274888813495636,0.12992271780967712
497839-62-0,0.09484323859214784,0.10012971609830856,0.1040470004081726,0.09598898887634276,0.10620180517435074,0.10444427281618117,0.09645801037549973,0.10397396981716156,0.10230225324630736,0.1093326285481453,0.10234543681144714,0.11142071336507796,0.10644007474184036,0.10468049347400664,0.10895027220249176,0.09620394557714462,0.1022081896662712,0.09911582618951796,0.1004858985543251,0.0997491404414177,0.11113715916872023,0.10860168933868407,0.10687674582004547,0.11601419746875764,0.10301786661148073,0.09782960265874864,0.09691248834133148,0.11052120476961136,0.10774193704128264,0.09518317878246307,0.1055683046579361,0.09949836879968643,0.10215221345424652,0.1024683490395546,0.10097937285900116,0.10448909550905228,0.10346122831106186,0.09641282260417937,0.0983058139681816,0.09684133529663086,0.10673388838768004,0.09801682829856873,0.10825494676828384,0.10789261013269424,0.09969814866781236,0.10545440763235092,0.10925661772489548,0.09479936957359314
49843-98-3,0.14076310396194458,0.14307956397533414,0.14638623595237732,0.13921643793582916,0.14591646194458008,0.1451198160648346,0.13546393811702728,0.14745548367500305,0.14041563868522644,0.1519329845905304,0.13522650301456451,0.14563672244548798,0.14461258053779602,0.12263166159391405,0.14356975257396698,0.14692288637161255,0.13994748890399933,0.14669035375118256,0.13265380263328552,0.1352493017911911,0.1557389795780182,0.15638087689876554,0.1412830799818039,0.1528335064649582,0.14091147482395172,0.13658572733402252,0.11819133162498476,0.14993178844451904,0.15444153547286987,0.12755610048770905,0.1559748351573944,0.15160247683525085,0.14465197920799255,0.1461808979511261,0.1320403814315796,0.1396162509918213,0.15204927325248718,0.1351175159215927,0.1459660828113556,0.13881082832813266,0.14719566702842712,0.13531202077865598,0.1545833945274353,0.1586737185716629,0.14266295731067655,0.15006089210510254,0.14793528616428375,0.14335821568965912
6-Mercaptopurine,0.12920689582824707,0.1357681304216385,0.14031821489334104,0.1449340432882309,0.1552053689956665,0.13807642459869385,0.1626112312078476,0.1277005523443222,0.15047290921211245,0.13764244318008426,0.1482282727956772,0.15575946867465973,0.13843415677547455,0.16897542774677274,0.1482221633195877,0.13622444868087769,0.13989800214767456,0.15224988758563995,0.1633945107460022,0.1595270335674286,0.13707499206066132,0.15829657018184662,0.14696083962917328,0.13424789905548096,0.14708195626735687,0.15219669044017792,0.1668933928012848,0.13820591568946838,0.1398845762014389,0.15517067909240725,0.12045329064130784,0.1219073012471199,0.1501767784357071,0.14407435059547424,0.16439783573150635,0.14530925452709198,0.13899850845336914,0.14905589818954468,0.12544669210910794,0.1437692642211914,0.14048771560192108,0.15132838487625122,0.13505473732948306,0.1330367475748062,0.13803111016750336,0.14002171158790588,0.14144256711006165,0.12583750486373899
629664-81-9,0.0825972706079483,0.0816856101155281,0.0848638191819191,0.07992535084486008,0.08767464756965637,0.08514037728309631,0.08169036358594894,0.0852731391787529,0.08400475233793259,0.08618240058422089,0.08445262908935547,0.08874209970235825,0.08675197511911392,0.08028910309076309,0.08509287983179092,0.07902747392654419,0.08355309069156648,0.08787043392658234,0.08071321249008179,0.08396275341510773,0.0880422294139862,0.08868257701396942,0.08625392615795135,0.09368006885051727,0.08206401765346527,0.07955234497785567,0.07861235737800598,0.0911002829670906,0.08442004770040512,0.07947155833244324,0.08254619687795639,0.07899603992700578,0.08254431933164598,0.08535302430391313,0.08055181801319122,0.09082242846488953,0.08484841138124466,0.0817374512553215,0.08039229363203049,0.08135046809911728,0.08452164381742477,0.08160087466239929,0.08834361284971237,0.08876678347587585,0.08156722038984299,0.08721185475587845,0.08281233161687851,0.0835089236497879
722544-51-6,0.4336974918842316,0.4760795831680298,0.4989797472953797,0.4704152345657349,0.5301352143287659,0.5238487720489502,0.5044090747833252,0.5326954126358032,0.5158089399337769,0.5143735408782959,0.5092085003852844,0.5224134922027588,0.5150328278541565,0.5265018939971924,0.5186374187469482,0.4594595730304718,0.5157181620597839,0.49909707903862,0.5039915442466736,0.5002636313438416,0.5128309726715088,0.5096228718757629,0.5176278352737427,0.5546083450317383,0.5129933953285217,0.5353296399116516,0.5277215838432312,0.5224338769912721,0.4866439700126648,0.4465873837471008,0.4649983942508698,0.427484542131424,0.5138663053512573,0.5116847753524779,0.5119776129722595,0.495587170124054,0.4830303192138672,0.5250647068023682,0.4577214121818543,0.3962410986423493,0.522535502910614,0.5067610740661621,0.5111361742019653,0.5194614529609679,0.5067784786224365,0.4981094300746918,0.5437867045402527,0.43544602394104
761439-42-3,0.07136811316013336,0.07390842586755753,0.07774679362773895,0.07158942520618439,0.08366134017705917,0.0785692036151886,0.07763957232236862,0.07731399685144424,0.07851481437683105,0.07904840260744095,0.07584885507822038,0.08497164398431778,0.07833164185285567,0.08007907122373581,0.07911799848079681,0.07248736172914505,0.07534000277519226,0.07773168385028839,0.07514408975839615,0.07897571474313736,0.08301869034767151,0.08270074427127838,0.07834920287132263,0.08645821362733841,0.07653791457414627,0.07718327641487123,0.07353731244802475,0.08495285362005234,0.07722563296556473,0.0706157460808754,0.0812024250626564,0.07297258824110031,0.07722800970077515,0.0778273195028305,0.0781300812959671,0.08615753799676895,0.07966705411672592,0.07479577511548996,0.07177076488733293,0.07429693639278412,0.07942112535238266,0.07557263225317001,0.08135353773832321,0.08116724342107773,0.07411466538906097,0.0793227031826973,0.07957872003316879,0.07334302365779878
841290-80-0,0.15764956176280975,0.15387316048145294,0.1533375084400177,0.1473102867603302,0.16067470610141754,0.16659453511238098,0.15388241410255432,0.16447895765304565,0.15622983872890472,0.1501743197441101,0.1589999496936798,0.15031586587429047,0.1567143201828003,0.1557227522134781,0.15776363015174866,0.15443751215934753,0.15470026433467865,0.16385695338249207,0.1618718057870865,0.14263758063316345,0.15006469190120694,0.15622442960739136,0.17027072608470914,0.18178321421146396,0.1734057068824768,0.13322511315345764,0.1794339269399643,0.15737299621105194,0.15459373593330386,0.14310626685619354,0.14027442038059235,0.15635119378566742,0.14624035358428955,0.1565856784582138,0.15879914164543152,0.13450512290000916,0.14045345783233645,0.17347164452075958,0.14949309825897214,0.1371389478445053,0.14457719027996066,0.15421845018863678,0.1638743132352829,0.17666126787662506,0.16588464379310608,0.1514463871717453,0.15711402893066406,0.15390676259994507
915019-65-7,0.0947582870721817,0.0935216024518013,0.09676504135131836,0.09685107320547104,0.11205651611089706,0.11410783231258392,0.10578849911689757,0.11016003042459488,0.10222814232110976,0.1039305105805397,0.09815839678049088,0.10102347284555437,0.10816650092601776,0.10148490965366364,0.10265526175498962,0.09545353800058363,0.1021365374326706,0.11243152618408203,0.10502313822507857,0.10178349167108536,0.11491496860980988,0.11903970688581468,0.10146696120500563,0.12944087386131287,0.10607730597257614,0.10289675742387773,0.1065824329853058,0.11607178300619125,0.09770726412534714,0.09211313724517822,0.09439883381128313,0.09216638654470444,0.10638331621885301,0.1050371155142784,0.10382118076086044,0.09638094156980516,0.09713036566972733,0.11308730393648148,0.09583498537540436,0.08880667388439177,0.09744790196418762,0.1021818071603775,0.11225060373544693,0.12472125887870787,0.10312555730342864,0.09876076877117156,0.1064058467745781,0.09696673601865767
937174-76-0,0.2063287198543549,0.23691903054714206,0.24784964323043826,0.2416221797466278,0.26218661665916443,0.22114606201648712,0.2594505548477173,0.2279314547777176,0.2749975323677063,0.25290355086326605,0.2621019184589386,0.29726213216781616,0.2425534725189209,0.2690180242061615,0.23317798972129825,0.20790962874889374,0.2570236921310425,0.2436002939939499,0.24487112462520602,0.3057905435562134,0.23139634728431704,0.2473965734243393,0.24929620325565335,0.23364992439746854,0.22729684412479398,0.26742303371429443,0.2470545023679733,0.24205704033374786,0.21859651803970334,0.2452784925699234,0.2414371371269226,0.20468272268772125,0.24842098355293274,0.2614037096500397,0.2732636332511902,0.3414614796638489,0.2614190280437469,0.24620267748832705,0.22916653752326965,0.2667086720466614,0.25437161326408386,0.2739622294902801,0.22856464982032776,0.2255403995513916,0.2306138128042221,0.2567701041698456,0.21840737760066986,0.2036742568016052
957054-30-7,0.14036411046981812,0.13364708423614502,0.1370764523744583,0.1308060586452484,0.13800743222236633,0.1466173678636551,0.13622340559959412,0.14422188699245453,0.13762469589710236,0.1390002965927124,0.13810014724731445,0.13921518623828888,0.13514858484268188,0.12887704372406006,0.1340179145336151,0.13646076619625092,0.13492760062217712,0.1500544399023056,0.13766169548034668,0.135084867477417,0.1385611742734909,0.14384007453918454,0.14181950688362122,0.147205650806427,0.14384201169013974,0.1283321976661682,0.14494216442108154,0.13680803775787356,0.14125455915927887,0.1251036673784256,0.13523828983306885,0.1415051519870758,0.13433712720870972,0.13856936991214752,0.133415088057518,0.1335630714893341,0.13279393315315247,0.1455426961183548,0.13789643347263336,0.13154831528663635,0.13453488051891327,0.13933436572551727,0.1449633538722992,0.15218529105186462,0.1414988487958908,0.1370820552110672,0.14431773126125336,0.1423306167125702
A-674563,0.09879881888628006,0.09754354506731032,0.1018952801823616,0.09704413264989853,0.10160785913467407,0.10255081951618196,0.10001358389854433,0.0991506204009056,0.10380084812641144,0.1005641147494316,0.10216599702835084,0.1079944521188736,0.099048413336277,0.09851180762052536,0.09712450951337814,0.09574013948440553,0.1008760929107666,0.10804182291030884,0.10110258311033248,0.10662426054477693,0.09776405245065688,0.10368236154317856,0.1019069030880928,0.10391354560852052,0.10098181664943696,0.09380505979061128,0.10245167464017868,0.09934982657432556,0.09945791214704514,0.09517032653093338,0.09752435982227324,0.09871406853199004,0.09841297566890717,0.10406331717967987,0.10235808044672012,0.1083301454782486,0.09941008687019348,0.10348554700613022,0.09919467568397522,0.10188733786344527,0.09882549196481703,0.10408075153827667,0.1013142466545105,0.10585132986307144,0.10059528052806854,0.10297761857509613,0.09827521443367004,0.0991831049323082
ACADESINE,0.10008079558610916,0.09630241990089417,0.09873177111148834,0.09507687389850616,0.1025971919298172,0.10357411205768584,0.09630201011896132,0.1008598580956459,0.09789902716875076,0.09917502850294113,0.09558603912591934,0.09966658800840378,0.10042580962181093,0.09263983368873596,0.10306157916784286,0.09599646925926207,0.0993574857711792,0.10537423193454742,0.09701183438301086,0.09633135050535202,0.10821504890918733,0.10472849756479263,0.09996122866868973,0.11527124792337418,0.10041062533855437,0.08973786979913713,0.08954498916864395,0.10832889378070833,0.10286731272935867,0.0917719230055809,0.10333067923784256,0.10184379667043686,0.09659536182880403,0.10188694298267363,0.0958746001124382,0.10058813542127608,0.10145729035139084,0.09664610028266908,0.09863398224115373,0.1025337055325508,0.0972129851579666,0.09665445238351822,0.10798761248588562,0.10880925506353377,0.09877942502498628,0.10271211713552476,0.10071085393428802,0.09952720999717712
